City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Pevek,RU,69.7008,170.3133,26.49,77,100,12.57,overcast clouds
163,Kodiak,US,57.79,-152.4072,49.51,76,90,10.36,overcast clouds
164,Kimbe,PG,-5.5502,150.1429,78.01,89,100,1.23,light rain
165,Dunedin,NZ,-45.8742,170.5036,57.79,91,100,5.99,overcast clouds
166,Kieta,PG,-6.2167,155.6333,82.56,74,84,2.26,light rain
167,Pendleton,US,45.6721,-118.7886,64.9,35,1,3.0,clear sky
168,Baiyin,CN,36.5583,104.2081,43.68,61,85,1.12,overcast clouds
169,Suntar,RU,62.1444,117.6319,29.39,89,100,10.38,overcast clouds
170,Dingle,PH,10.9995,122.6711,75.4,90,83,1.14,broken clouds
171,Adrar,MR,20.5022,-10.0711,92.73,18,83,6.08,broken clouds
172,Itoman,JP,26.1247,127.6694,79.57,96,20,5.75,few clouds
173,Chicama,PE,-7.8447,-79.1469,61.34,70,24,9.28,few clouds
174,Aljezur,PT,37.3191,-8.8033,68.52,66,38,4.29,scattered clouds
175,Limbang,MY,4.75,115.0,77.11,92,96,1.79,overcast clouds
176,Roma,US,43.2128,-75.4557,69.94,71,1,5.75,clear sky
177,Flin Flon,CA,54.7682,-101.865,60.64,48,90,5.75,overcast clouds
178,Burnie,AU,-41.0667,145.9167,49.95,66,45,15.21,scattered clouds
179,Svetlogorsk,BY,52.6333,29.7333,38.97,62,0,8.57,clear sky
180,Phuket,TH,8.0,98.25,81.09,94,75,13.8,light rain
181,Oksfjord,NO,70.2396,22.3479,43.0,94,100,4.94,overcast clouds
182,Lavrentiya,RU,65.5833,-171.0,36.5,99,100,8.63,light rain
183,Sao Filipe,CV,14.8961,-24.4956,80.02,75,55,7.76,broken clouds
184,Katsuura,JP,35.1333,140.3,70.11,76,100,12.1,overcast clouds
185,Port Hardy,CA,50.6996,-127.4199,51.8,81,75,0.0,light intensity shower rain
186,Krasnoselkup,RU,65.7,82.4667,39.96,94,100,17.81,light rain
187,Ola,RU,59.5833,151.2833,27.07,46,10,5.12,clear sky
188,Usinsk,RU,65.9939,57.5281,44.37,88,100,15.46,overcast clouds
189,Irgakly,RU,44.3611,44.7556,49.03,64,100,13.82,overcast clouds
190,Upata,VE,8.0086,-62.3989,79.2,92,89,4.61,moderate rain
191,Tautira,PF,-17.7333,-149.15,84.22,79,58,11.52,light rain
192,Montbrison,FR,45.6667,4.0833,46.09,71,42,6.33,scattered clouds
193,Kalabo,ZM,-14.97,22.6814,72.55,67,89,4.94,overcast clouds
194,Grootfontein,NA,-19.5667,18.1167,74.1,45,88,10.83,overcast clouds
195,Balabac,PH,7.9868,117.0645,81.52,79,52,8.75,broken clouds
196,Hualmay,PE,-11.0964,-77.6139,65.59,78,34,9.06,scattered clouds
197,Bonavista,CA,48.6499,-53.1147,58.12,74,35,11.21,scattered clouds
198,Kalmunai,LK,7.4167,81.8167,79.29,81,50,7.25,scattered clouds
199,Saldanha,ZA,-33.0117,17.9442,66.25,63,0,8.84,clear sky
200,Ponta Do Sol,PT,32.6667,-17.1,73.0,78,83,5.06,broken clouds
201,Iskele,TR,39.484,26.9278,60.89,72,0,11.5,clear sky
202,Arroyo,ES,41.6096,-4.7969,57.6,71,0,2.3,clear sky
203,East London,ZA,-33.0153,27.9116,65.01,83,75,13.94,broken clouds
204,Shar,KZ,49.5886,81.0453,31.15,91,100,4.85,overcast clouds
205,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,89.33,26,96,12.44,overcast clouds
206,Beira,MZ,-19.8436,34.8389,74.61,75,15,10.42,few clouds
207,Kahului,US,20.8947,-156.47,87.82,65,40,25.32,scattered clouds
208,Hithadhoo,MV,-0.6,73.0833,83.5,74,50,11.92,scattered clouds
209,Bengkulu,ID,-3.8004,102.2655,73.2,96,100,3.51,light rain
210,Puerto Carreno,CO,6.189,-67.4859,86.74,69,100,2.59,overcast clouds
211,Blyth,GB,55.1271,-1.5086,54.28,88,40,3.44,scattered clouds
212,Narrabri,AU,-30.3167,149.7833,62.69,48,95,5.75,overcast clouds
213,Chimbote,PE,-9.0853,-78.5783,66.58,77,20,10.33,few clouds
214,Baruun-Urt,MN,46.6806,113.2792,37.72,50,2,8.68,clear sky
215,Sur,OM,22.5667,59.5289,81.79,70,2,6.91,clear sky
216,Olga,RU,43.7444,135.2892,47.84,65,100,4.07,overcast clouds
217,Pangkalanbuun,ID,-2.6833,111.6167,73.8,96,95,1.74,overcast clouds
218,Liuzhou,CN,24.3126,109.3892,75.49,63,7,7.36,clear sky
219,Salalah,OM,17.0151,54.0924,80.69,89,75,4.61,broken clouds
220,Porto Murtinho,BR,-21.6989,-57.8825,89.04,42,65,4.68,broken clouds
221,Saskylakh,RU,71.9167,114.0833,24.21,96,100,10.96,light snow
222,Ust-Tsilma,RU,65.441,52.1498,43.77,84,90,8.25,overcast clouds
223,Yabelo,ET,4.8833,38.0833,64.51,52,81,5.01,broken clouds
224,Rio Grande,BR,-32.035,-52.0986,58.95,79,33,25.08,scattered clouds
225,Pijijiapan,MX,15.7011,-93.23,88.48,63,50,3.36,scattered clouds
